dna,rRNA,12S_ribosomal_RNA,12S_ribosomal_RNA,12S ribosomal RNA,12S rRNA
dna,rRNA,16S_ribosomal_RNA,16S_ribosomal_RNA,16S ribosomal RNA,16S rRNA
dna,rRNA,18s,18s,18S ribosomal RNA
dna,rRNA,28s,28s,28S ribosomal RNA
dna,rRNA,5.8S_ribosomal_RNA,5.8S ribosomal RNA
dna,CDS,ADNP,ADNP
dna,CDS,AHR,AHR
dna,CDS,AKAP9,AKAP9
dna,CDS,AMEL,AMEL
dna,CDS,ATP6,ATP6,ATP6,atp6
dna,CDS,ATP8,ATP8,ATP8,atp8
dna,CDS,Amcr-DAB1,Amcr-DAB1
dna,CDS,Amcr-DAB2,Amcr-DAB2
dna,CDS,Amcr-DAB3,Amcr-DAB3
dna,CDS,Amcr-DAB4,Amcr-DAB4
dna,CDS,Amcr-DAB5,Amcr-DAB5
dna,CDS,Amcr-UA,Amcr-UA
dna,CDS,Amcr-UB,Amcr-UB
dna,CDS,BACH1,BACH1
dna,CDS,BDNF,BDNF
dna,CDS,BHLHB2,BHLHB2
dna,CDS,BMP2,BMP2
dna,CDS,BNDF,BNDF
dna,CDS,CAND1,CAND1
dna,CDS,CARD4,CARD4
dna,CDS,CILP,CILP
dna,CDS,CRiSP-Igu-1,CRiSP-Igu-1
dna,CDS,CRiSP-Igu-2,CRiSP-Igu-2
dna,CDS,CVF-Igu-1,CVF-Igu-1
dna,CDS,CXCR4,CXCR4
dna,CDS,C_mos,C_mos,C-mos,c-mos,C-MOS
dna,CDS,Cosu-UA,Cosu-UA
dna,CDS,Cosu-UB,Cosu-UB
dna,CDS,Ctcl-UA,Ctcl-UA
dna,CDS,Ctde-UA,Ctde-UA
dna,CDS,Cyca-UA,Cyca-UA
dna,CDS,Cyco-UA,Cyco-UA
dna,CDS,Cyri-UA,Cyri-UA
dna,CDS,Cystatin-Igu-1,Cystatin-Igu-1
dna,CDS,Cystatin-Igu-2,Cystatin-Igu-2
dna,CDS,Cystatin-Igu-3,Cystatin-Igu-3
dna,CDS,DNAH3,DNAH3
dna,CDS,DNA_polymerase_alpha_catalytic_subunit,DNA polymerase alpha catalytic subunit
dna,CDS,ECEL1,ECEL1
dna,CDS,ENC1,ENC1
dna,CDS,FSHR,FSHR
dna,CDS,FSTL5,FSTL5
dna,CDS,GALR1,GALR1
dna,CDS,GAPDH,GAPDH,GAPDH,gapdh
dna,CDS,GARS-AIRS-GART,GARS-AIRS-GART
dna,CDS,GHSR,GHSR
dna,CDS,GPR149,GPR149
dna,CDS,GPR37,GPR37
dna,CDS,HLCS,HLCS
dna,CDS,HOXA13,HOXA13
dna,CDS,INHBA,INHBA
dna,CDS,Igig-UB,Igig-UB
